company,overall,work-balance,culture,career,benefit,senior-mangemnet,helpful-count,status,dates
google,2,4,3,2,5,2,2,Current Employee ,2018
google,4,4,4,4,5,3,1,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,4,3,4,4,5,4,0,Current Employee ,2018
google,5,5,5,4,5,4,0,Current Employee ,2018
google,3,3,3,4,4,2,0,Former Employee ,2018
google,5,2,2,4,4,3,0,Former Employee ,2018
google,4,5,5,3,5,4,0,Former Employee ,2018
google,5,5,3,5,5,4,1,Current Employee ,2018
google,3,3,3,2,3,2,0,Former Employee ,2018
google,5,4,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,1,Former Employee ,2018
google,5,4,5,5,5,5,1,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,4,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,4,4,3,4,3,0,Current Employee ,2018
google,5,5,5,5,4,4,0,Former Employee ,2018
google,4,5,4,4,4,4,1,Current Employee ,2018
google,4,2,4,5,4,4,0,Current Employee ,2018
google,3,1,3,5,5,2,1,Current Employee ,2018
google,5,4,5,5,5,4,2,Current Employee ,2018
google,4,4,3,4,4,2,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,3,3,4,5,4,0,Current Employee ,2018
google,5,5,4,4,5,4,0,Former Employee ,2018
google,5,4,5,5,5,5,0,Current Employee ,2018
google,4,4,4,5,5,3,0,Former Employee ,2018
google,3,3,5,2,3,3,4,Current Employee ,2018
google,5,4,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,4,4,4,4,3,0,Current Employee ,2018
google,4,5,5,3,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,1,1,1,1,4,1,3,Former Employee ,2018
google,5,5,4,5,5,4,0,Current Employee ,2018
google,5,3,4,5,5,3,0,Current Employee ,2018
google,5,4,5,5,5,4,0,Current Employee ,2018
google,3,3,2,3,3,3,2,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,4,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,4,5,5,0,Current Employee ,2018
google,4,2,2,3,3,3,0,Former Employee ,2018
google,5,5,5,4,5,4,5,Former Employee ,2018
google,5,5,4,5,5,4,0,Former Employee ,2018
google,1,2,2,1,5,1,4,Former Employee ,2018
google,4,4,5,3,5,4,0,Current Employee ,2018
google,4,4,5,2,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,4,4,4,0,Current Employee ,2018
google,4,4,4,3,4,4,0,Former Employee ,2018
google,4,4,4,5,5,3,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,3,3,5,3,4,0,Former Employee ,2018
google,3,2,3,3,4,2,2,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,4,1,Former Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,4,5,4,4,5,0,Former Employee ,2018
google,5,4,5,4,3,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,2,3,3,3,4,1,1,Former Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,4,5,5,3,4,0,Current Employee ,2018
google,2,4,2,2,2,2,0,Former Employee ,2018
google,3,1,3,5,5,3,1,Current Employee ,2018
google,1,1,1,1,1,1,12,Current Employee ,2018
google,4,3,2,4,5,5,0,Current Employee ,2018
google,5,4,5,5,5,4,4,Current Employee ,2018
google,4,3,5,3,3,3,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,3,4,5,5,4,0,Current Employee ,2018
google,5,4,3,4,5,3,1,Current Employee ,2018
google,5,5,5,4,5,5,0,Former Employee ,2018
google,5,4,5,4,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,5,5,5,3,5,0,Current Employee ,2018
google,4,5,4,4,4,3,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,3,5,4,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,3,3,5,5,4,4,2,Former Employee ,2018
google,3,5,3,3,3,2,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,5,5,4,1,Former Employee ,2018
google,3,3,3,3,3,3,0,Current Employee ,2018
google,1,2,1,2,3,1,5,Current Employee ,2018
google,5,5,5,5,5,5,3,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,4,5,5,5,5,1,Current Employee ,2018
google,5,5,5,5,5,5,1,Former Employee ,2018
google,3,4,4,3,3,4,0,Current Employee ,2018
google,4,5,3,3,5,3,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,3,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,5,4,3,4,4,0,Former Employee ,2018
google,4,3,4,3,4,3,0,Current Employee ,2018
google,4,3,4,3,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,2,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,4,4,5,4,0,Current Employee ,2018
google,4,4,4,5,4,4,0,Former Employee ,2018
google,4,4,4,3,4,4,0,Former Employee ,2018
google,5,3,4,4,4,4,0,Current Employee ,2018
google,4,3,4,3,5,3,0,Current Employee ,2018
google,4,4,5,4,5,4,0,Current Employee ,2018
google,5,5,5,5,3,5,0,Current Employee ,2018
google,5,3,4,5,4,4,1,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,2,5,5,5,3,2,Former Employee ,2018
google,5,4,5,4,5,4,0,Former Employee ,2018
google,5,5,4,5,4,5,0,Former Employee ,2018
google,2,3,2,2,4,4,9,Current Employee ,2018
google,5,5,5,4,5,5,1,Current Employee ,2018
google,5,4,5,4,4,4,0,Current Employee ,2018
google,5,4,5,5,5,4,1,Current Employee ,2018
google,1,1,2,3,3,1,8,Former Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,3,5,5,3,2,1,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,4,3,5,5,0,Former Employee ,2018
google,5,4,4,5,5,5,1,Former Employee ,2018
google,5,4,4,5,5,5,1,Current Employee ,2018
google,5,3,5,4,5,4,15,Current Employee ,2018
google,5,4,5,5,4,5,0,Current Employee ,2018
google,5,4,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,3,4,4,5,3,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,5,5,4,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,2,4,4,5,2,0,Former Employee ,2018
google,4,5,5,4,5,2,0,Current Employee ,2018
google,3,2,3,2,5,3,2,Former Employee ,2018
google,3,4,3,3,5,1,0,Current Employee ,2018
google,5,5,5,4,5,3,0,Former Employee ,2018
google,3,4,4,5,4,4,0,Current Employee ,2018
google,5,4,5,4,4,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,5,5,5,0,Current Employee ,2018
google,5,1,5,4,5,3,0,Current Employee ,2018
google,4,5,4,3,5,4,0,Current Employee ,2018
google,4,4,5,5,5,5,1,Current Employee ,2018
google,5,4,5,5,5,4,0,Former Employee ,2018
google,3,3,3,2,4,2,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,4,4,0,Current Employee ,2018
google,4,3,4,5,5,3,0,Former Employee ,2018
google,5,5,3,1,5,3,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,4,5,4,4,5,0,Former Employee ,2018
google,4,5,4,4,4,4,0,Former Employee ,2018
google,5,5,5,5,5,4,0,Former Employee ,2018
google,5,5,4,5,4,4,0,Current Employee ,2018
google,5,2,4,5,4,5,1,Former Employee ,2018
google,4,4,5,3,5,5,6,Former Employee ,2018
google,5,2,4,4,5,5,0,Former Employee ,2018
google,5,3,4,3,5,3,0,Former Employee ,2018
google,4,4,5,5,5,5,4,Current Employee ,2018
google,4,4,4,4,4,4,0,Current Employee ,2018
google,3,3,4,3,2,3,2,Current Employee ,2018
google,5,2,3,5,4,4,0,Former Employee ,2018
google,4,3,3,4,5,3,0,Former Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,4,3,5,4,5,2,0,Former Employee ,2018
google,1,3,1,1,5,1,8,Current Employee ,2018
google,5,3,5,5,5,5,0,Current Employee ,2018
google,4,5,4,4,4,3,0,Current Employee ,2018
google,5,5,5,4,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,1,1,1,1,1,1,1,Current Employee ,2018
google,4,3,5,4,5,4,1,Former Employee ,2018
google,5,2,5,5,4,5,1,Former Employee ,2018
google,4,4,4,3,3,2,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,3,5,5,0,Former Employee ,2018
google,1,3,3,1,5,1,8,Current Employee ,2018
google,3,4,4,3,4,2,3,Former Employee ,2018
google,3,3,3,1,4,3,0,Current Employee ,2018
google,3,3,5,4,1,3,7,Current Employee ,2018
google,3,3,2,4,5,4,0,Current Employee ,2018
google,4,3,4,5,4,3,0,Current Employee ,2018
google,5,4,4,4,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,2,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,5,4,5,5,4,0,Former Employee ,2018
google,5,4,4,4,4,4,0,Current Employee ,2018
google,4,5,5,3,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,2,Current Employee ,2018
google,3,5,2,5,5,4,4,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,3,5,3,1,5,3,1,Former Employee ,2018
google,5,5,5,5,5,5,3,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,5,5,4,5,3,0,Current Employee ,2018
google,5,3,5,3,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,2,1,1,2,4,1,5,Current Employee ,2018
google,4,3,3,4,4,4,2,Current Employee ,2018
google,5,3,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,4,3,4,3,2,1,Current Employee ,2018
google,5,5,5,5,4,3,0,Current Employee ,2018
google,5,5,4,5,5,4,0,Current Employee ,2018
google,5,5,5,4,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,3,3,4,4,4,0,Former Employee ,2018
google,3,2,2,4,4,3,0,Current Employee ,2018
google,5,4,4,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,3,4,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,4,2,5,3,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,2,1,4,2,5,1,12,Current Employee ,2018
google,5,4,4,4,4,4,4,Current Employee ,2018
google,5,4,4,4,5,4,1,Current Employee ,2018
google,2,3,2,2,4,2,7,Current Employee ,2018
google,5,5,5,4,4,5,1,Current Employee ,2018
google,2,4,1,3,5,1,1,Former Employee ,2018
google,4,3,4,4,5,2,0,Current Employee ,2018
google,1,3,5,3,3,3,0,Former Employee ,2018
google,4,5,5,5,4,4,1,Current Employee ,2018
google,5,4,5,5,3,5,0,Former Employee ,2018
google,4,5,5,4,5,5,0,Current Employee ,2018
google,5,3,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,4,5,5,4,0,Former Employee ,2018
google,5,3,4,5,5,4,0,Former Employee ,2018
google,5,4,5,4,3,4,1,Current Employee ,2018
google,5,4,4,5,5,4,3,Current Employee ,2018
google,5,4,5,4,4,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,3,5,4,4,4,0,Former Employee ,2018
google,5,4,5,3,5,3,0,Former Employee ,2018
google,4,5,5,5,5,5,0,Former Employee ,2018
google,4,5,4,3,4,4,1,Current Employee ,2018
google,4,2,5,5,5,4,0,Current Employee ,2018
google,1,3,5,2,2,1,6,Former Employee ,2018
google,4,4,4,4,5,3,2,Current Employee ,2018
google,5,3,3,5,5,4,0,Former Employee ,2018
google,4,5,5,3,3,5,3,Current Employee ,2018
google,4,4,4,5,5,4,0,Former Employee ,2018
google,4,4,4,3,4,4,1,Current Employee ,2018
google,5,5,5,4,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,2,Current Employee ,2018
google,4,4,5,3,4,4,0,Former Employee ,2018
google,4,4,3,4,5,4,1,Former Employee ,2018
google,5,4,4,4,5,4,0,Current Employee ,2018
google,4,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,3,0,Former Employee ,2018
google,4,5,4,4,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,3,4,3,4,1,0,Current Employee ,2018
google,5,5,5,5,5,5,2,Current Employee ,2018
google,5,5,5,5,5,4,1,Current Employee ,2018
google,5,5,5,5,4,4,0,Former Employee ,2018
google,5,3,5,4,4,3,0,Former Employee ,2018
google,4,2,4,5,5,3,1,Current Employee ,2018
google,5,5,5,5,5,5,1,Former Employee ,2018
google,3,2,2,4,4,2,1,Former Employee ,2018
google,2,3,2,2,4,2,2,Current Employee ,2018
google,5,2,5,3,5,4,0,Current Employee ,2018
google,5,5,5,4,4,4,0,Current Employee ,2018
google,5,3,1,5,5,3,0,Former Employee ,2018
google,5,3,5,4,5,4,0,Current Employee ,2018
google,5,4,5,5,5,5,0,Current Employee ,2018
google,4,3,4,3,5,4,0,Former Employee ,2018
google,5,4,4,4,4,3,1,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,4,4,4,4,3,1,Former Employee ,2018
google,2,2,4,1,1,1,0,Former Employee ,2018
google,3,2,3,3,5,4,4,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,5,5,5,0,Current Employee ,2018
google,4,4,4,2,5,4,7,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,3,5,5,5,4,0,Former Employee ,2018
google,5,5,5,5,5,3,0,Current Employee ,2018
google,4,4,5,4,5,2,0,Former Employee ,2018
google,4,3,3,4,4,3,1,Current Employee ,2018
google,3,5,1,1,2,1,14,Former Employee ,2018
google,5,5,5,5,5,5,2,Current Employee ,2018
google,3,5,3,1,3,2,0,Former Employee ,2018
google,4,4,4,4,5,4,1,Former Employee ,2018
google,5,5,5,4,5,5,0,Current Employee ,2018
google,5,5,5,5,4,5,0,Current Employee ,2018
google,5,4,5,5,5,1,0,Current Employee ,2018
google,3,5,1,4,4,1,4,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,5,3,2,4,2,0,Current Employee ,2018
google,5,4,4,3,5,3,1,Current Employee ,2018
google,4,4,3,4,4,4,0,Current Employee ,2018
google,5,4,5,5,5,4,0,Current Employee ,2018
google,4,5,3,4,5,3,0,Current Employee ,2018
google,2,4,2,2,4,2,1,Current Employee ,2018
google,5,5,5,4,5,5,0,Former Employee ,2018
google,4,3,4,5,4,4,0,Former Employee ,2018
google,5,3,4,4,4,4,1,Former Employee ,2018
google,2,1,1,5,3,1,0,Current Employee ,2018
google,3,4,3,3,4,2,2,Former Employee ,2018
google,4,4,5,4,5,4,0,Current Employee ,2018
google,1,1,1,1,1,1,2,Former Employee ,2018
google,4,4,5,3,5,3,0,Current Employee ,2018
google,2,1,4,4,1,1,6,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,1,1,1,1,3,1,8,Current Employee ,2018
google,5,4,5,5,3,4,1,Current Employee ,2018
google,5,4,5,5,4,5,3,Current Employee ,2018
google,4,5,4,5,4,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,5,5,1,5,3,0,Former Employee ,2018
google,2,1,1,1,1,1,3,Former Employee ,2018
google,5,4,5,4,4,5,1,Current Employee ,2018
google,3,1,3,4,3,2,0,Former Employee ,2018
google,3,2,3,2,4,3,0,Current Employee ,2018
google,1,1,3,2,2,1,2,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,2,1,3,1,5,2,6,Current Employee ,2018
google,5,5,5,4,5,5,0,Current Employee ,2018
google,5,3,4,5,5,4,0,Current Employee ,2018
google,4,4,4,4,4,4,0,Current Employee ,2018
google,4,5,5,5,5,5,0,Current Employee ,2018
google,3,4,2,2,5,3,4,Current Employee ,2018
google,5,4,5,4,5,5,3,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,5,5,5,5,5,0,Former Employee ,2018
google,3,4,5,1,3,3,3,Current Employee ,2018
google,5,5,5,5,5,4,0,Former Employee ,2018
google,5,5,5,5,5,3,0,Former Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,4,4,3,5,4,3,Current Employee ,2018
google,4,4,3,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,4,5,5,0,Current Employee ,2018
google,5,5,3,3,3,3,2,Former Employee ,2018
google,5,5,5,4,4,4,0,Current Employee ,2018
google,4,4,4,3,5,4,0,Former Employee ,2018
google,4,4,4,5,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,3,Current Employee ,2018
google,5,2,5,5,5,5,5,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,4,14,Current Employee ,2018
google,5,5,5,5,5,5,1,Former Employee ,2018
google,5,5,5,5,4,5,0,Current Employee ,2018
google,5,5,4,5,4,4,1,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,3,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,4,5,5,4,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,3,5,5,5,4,0,Former Employee ,2018
google,4,5,5,3,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,5,Current Employee ,2018
google,5,4,5,5,5,5,1,Current Employee ,2018
google,5,4,5,5,5,5,1,Current Employee ,2018
google,3,3,1,5,5,3,0,Current Employee ,2018
google,5,4,5,5,4,4,0,Current Employee ,2018
google,3,3,3,3,3,3,7,Former Employee ,2018
google,4,5,4,3,4,3,1,Current Employee ,2018
google,5,5,4,5,5,3,1,Former Employee ,2018
google,3,1,2,2,3,1,0,Current Employee ,2018
google,1,1,1,3,3,1,8,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,5,4,5,0,Former Employee ,2018
google,2,2,1,2,2,1,1,Former Employee ,2018
google,3,3,4,5,4,3,1,Former Employee ,2018
google,4,3,4,5,5,4,1,Former Employee ,2018
google,1,1,2,1,3,1,1,Former Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,5,5,4,4,4,0,Current Employee ,2018
google,4,5,4,4,4,4,0,Current Employee ,2018
google,4,5,2,5,5,2,0,Current Employee ,2018
google,1,2,1,2,3,2,3,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,3,4,4,5,4,0,Current Employee ,2018
google,2,2,2,2,5,3,4,Former Employee ,2018
google,4,3,4,2,1,3,0,Former Employee ,2018
google,4,3,4,5,5,3,0,Current Employee ,2018
google,4,5,4,2,5,4,0,Current Employee ,2018
google,4,4,4,3,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,4,5,5,4,4,0,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,1,1,1,1,5,1,14,Former Employee ,2018
google,4,4,4,1,4,4,0,Current Employee ,2018
google,5,1,5,1,5,5,1,Current Employee ,2018
google,5,1,4,5,5,4,1,Former Employee ,2018
google,5,3,5,5,5,5,2,Current Employee ,2018
google,4,3,4,5,5,4,1,Former Employee ,2018
google,3,4,4,4,4,4,0,Current Employee ,2018
google,5,4,5,4,5,5,0,Current Employee ,2018
google,4,4,3,4,4,5,0,Current Employee ,2018
google,5,5,5,5,5,5,2,Current Employee ,2018
google,4,5,3,5,5,3,1,Current Employee ,2018
google,1,3,1,5,5,2,14,Former Employee ,2018
google,5,5,5,4,5,4,0,Current Employee ,2018
google,5,4,3,5,5,2,0,Current Employee ,2018
google,5,4,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,5,4,3,5,2,0,Former Employee ,2018
google,4,5,4,3,4,4,0,Former Employee ,2018
google,2,1,1,2,3,1,3,Former Employee ,2018
google,5,5,5,4,5,4,0,Current Employee ,2018
google,4,4,5,4,5,3,0,Current Employee ,2018
google,3,2,4,4,5,2,8,Current Employee ,2018
google,5,4,5,5,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,3,4,3,4,3,0,Current Employee ,2018
google,4,3,4,4,4,3,0,Current Employee ,2018
google,5,5,5,4,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,3,Current Employee ,2018
google,5,4,4,5,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,1,1,1,1,1,1,10,Current Employee ,2018
google,5,5,5,4,5,5,1,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,4,4,5,4,5,4,1,Former Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,2,1,3,2,4,5,14,Former Employee ,2018
google,1,1,1,1,1,5,1,Current Employee ,2018
google,4,4,4,3,4,4,0,Former Employee ,2018
google,1,1,1,1,1,1,8,Former Employee ,2018
google,5,3,5,5,5,5,2,Former Employee ,2018
google,3,3,2,3,5,2,5,Former Employee ,2018
google,5,5,5,3,5,4,4,Current Employee ,2018
google,3,2,3,3,4,3,2,Former Employee ,2018
google,4,3,4,5,5,4,0,Former Employee ,2018
google,3,2,4,2,5,1,5,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,4,5,5,0,Former Employee ,2018
google,5,4,5,5,5,5,2,Current Employee ,2018
google,4,4,5,3,4,3,0,Current Employee ,2018
google,5,5,4,5,5,5,0,Former Employee ,2018
google,5,5,5,2,5,5,0,Current Employee ,2018
google,4,2,5,4,4,3,0,Former Employee ,2018
google,4,3,4,4,4,3,0,Former Employee ,2018
google,5,4,5,5,5,4,0,Current Employee ,2018
google,5,4,4,3,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,4,5,5,5,0,Former Employee ,2018
google,4,4,5,3,4,4,2,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,4,4,4,5,3,0,Former Employee ,2018
google,5,5,4,4,5,4,1,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,4,4,4,4,4,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,4,4,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,5,5,5,0,Former Employee ,2018
google,5,4,5,5,5,5,0,Former Employee ,2018
google,4,4,4,4,5,2,1,Former Employee ,2018
google,3,5,5,3,3,3,3,Current Employee ,2018
google,5,5,5,5,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
